item_id,gating_mode,prompt_tokens,completion_tokens,latency,tps,cost
0,original_gating,1451,492,8.648182499979157,56.890566312769856,0.0007821999999999999
0,stepwise,346,287,5.941821600019466,48.30168579936156,0.0003562
0,hybrid,485,249,5.351339599990752,46.53040520927327,0.000346
0,diversity,288,330,6.2961383999791,52.41307910275534,0.0003876
0,token_budget,86,186,4.4646472000167705,41.66062662225614,0.0002032
1,baseline (no gating),484,107,3.3505546000087634,31.935011594713348,0.00020380000000000002
1,original_gating,1466,425,7.825633899949025,54.30869951669581,0.0007182
1,stepwise,334,283,5.63720120000653,50.20221736979553,0.0003498
1,hybrid,485,480,8.081139500020072,59.39756392013871,0.0005769999999999999
1,diversity,326,350,6.53036690002773,53.595763508864074,0.0004152
1,token_budget,91,383,6.816313999996055,56.188726047570825,0.0004012
2,baseline (no gating),493,397,6.981613600044511,56.863645389579986,0.0004956
2,original_gating,1417,491,8.583979899995029,57.199574756726115,0.0007744
2,stepwise,347,284,5.794861100031994,49.00894000693683,0.00035339999999999997
2,hybrid,494,333,6.2262962000095285,53.48283944465899,0.0004318
2,diversity,321,299,5.816809200041462,51.40275187260204,0.0003632
2,token_budget,86,88,3.1604836999904364,27.843839220011255,0.0001052
3,baseline (no gating),498,58,2.839186900004279,20.428383915096465,0.0001576
3,original_gating,1340,384,7.260290000005625,52.89044927953325,0.000652
3,stepwise,352,268,5.447910499991849,49.19317231815776,0.0003384
3,hybrid,499,483,8.075351000006776,59.81164162394857,0.0005828
3,diversity,299,406,7.119196099985857,57.02891089076849,0.0004658
3,token_budget,90,479,8.084896699991077,59.24627336308807,0.0004969999999999999
4,baseline (no gating),496,50,2.741007799981162,18.241465785082273,0.0001492
4,original_gating,1339,305,6.260958400031086,48.71458657167977,0.0005728
4,stepwise,346,277,5.520298600022215,50.17844505709986,0.0003462
4,hybrid,500,402,7.229606500011869,55.60468609174511,0.000502
4,diversity,350,305,5.985996599949431,50.95225079188595,0.000375
4,token_budget,87,222,4.77817689999938,46.46123503716005,0.00023940000000000002
5,baseline (no gating),499,41,2.6032363999984227,15.74962611925096,0.0001408
5,original_gating,1688,409,7.540416200004984,54.24103778246746,0.0007466
5,stepwise,338,157,4.09747190005146,38.316309136379495,0.00022459999999999998
5,hybrid,500,250,5.335865599976387,46.85275431245988,0.00035
